ID,name,Avg,imageURLs,,Description,,Price,Tags,
77,iPad Mini 4,3.58,https://i5.walmartimages.com/asr/a4a7b0c9-38a6-45c9-b2e2-a9dbb53e49f6_1.7b0f1b12d06a0188ec17e4e6360a3e6c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"Up to 10 hours of surﬁng the web on Wi‑Fi, watching video, or listening to music.; Up to 9 hours of surﬁng the web using cellular data network",,54.95,ipad,
78,"2021 Newest Acer Aspire 5 15.6"" FHD 1080P Laptop",4.5,http://i.ebayimg.com/thumbs/images/g/~OMAAOSwaLhZgORC/s-l200.jpg,,"With its thin and light design, 6.5 millimeter micro-edge bezel display, and 82% screen to body ratio, you can take this PC anywhere and see more of what you love.  HP 15-inch Laptop, 11th Generation Intel Core i5",,859.65,laptop,
79,"2020 Acer Aspire 3 15.6"" Full HD 1080P Laptop ",3.78,https://i5.walmartimages.com/asr/7aa6e329-aea5-4cda-bd15-0835b883dffb_1.5959c18aa901843c4c9c858f5bd02d65.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"With its thin and light design, 6.5 millimeter micro-edge bezel display, and 82% screen to body ratio, you can take this PC anywhere and see more of what you love.  HP 15-inch Laptop, 11th Generation Intel Core i5",,616.47,laptop,
80,Magnavox MHT990 2.1 Home Entertainment System with Bluetooth Wireless,3.14,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4736/4736213_sa.jpg,,"Enjoy your favorite music from various sources using the Boytone 2.1 Multimedia Speakers with Bluetooth. An FM tuner picks up local broadcasts and connection ports accept MP3 files from SD cards or USB drives. Pair a compatible Bluetooth smartphone, tablet or other device for wireless streaming",,399.99,home theater,
81,NexiGo N930AF 1080p Webcam with Microphone ,4.18,https://images-na.ssl-images-amazon.com/images/I/91JzKCbEWIL._SL1500_.jpg,,"If you're concerned about the mischief your furry friends are causing when you're out of the house, try the Motorola Wi-Fi Pet Video Camera. Get a peek at your pet with remote HD-quality video streaming.",,199.99,webcam camera,
82,"Wireless Earbuds, Cystereo Fusion Bluetooth 5.0",4.22,https://static.bhphoto.com/images/images500x500/sol_republic_sol_ep1190gd_sol_republic_amps_air_1483553140000_1295880.jpg,,"Equal parts earbud and ear bling, Galaxy Buds Live come in 4 colors you’ll want to rock all day . Active Noise Cancelling Wireless Charging",,89.95,earbuds,
83,Alpha a6500 Mirrorless Digital Camera (Body Only),4.32,https://i.ebayimg.com/thumbs/images/g/xUUAAOSwc-tY1V0c/s-l96.jpg,,"If you're concerned about the mischief your furry friends are causing when you're out of the house, try the Motorola Wi-Fi Pet Video Camera. Get a peek at your pet with remote HD-quality video streaming.",,1786.64,camera,
84,"Kanto Living 8 Powered Subwoofer -Gloss White""",4.6,https://i5.walmartimages.com/asr/792b9bcd-4f5d-4fe1-ac0e-c45862f9faee_1.3c9d227a358f8da5c48ff828a51afd1a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,279.99,Subwoofer woofer speaker,
85,HP Pavilion 27-inch All-in-One Desktop,4.17,https://m.media-amazon.com/images/I/414AaZ1rMDL._AC_SS450_.jpg,,"Immersive Viewing Experience: The 1800R curvature of the screen lets you enjoy big, bold and stunning panoramic views while you work or play at home or the office",,869.99,monitor,
86,"MSI GF65 Gaming Laptop: 15.6"" 144Hz FHD 1080p, Intel Core i7",3.96,https://static.bhphoto.com/images/images500x500/msi_gp62mvrx_leopard_pro_661_i7_7700hq_1504723671000_1329563.jpg,,"With its thin and light design, 6.5 millimeter micro-edge bezel display, and 82% screen to body ratio, you can take this PC anywhere and see more of what you love.  HP 15-inch Laptop, 11th Generation Intel Core i5",,1499.99,laptop,
87,G-Technology 6TB G-Drive,3.09,https://m.media-amazon.com/images/I/51SHeC0t2ZL._AC_SY450_.jpg,,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives. Take advantage of Self-Encrypting Drive technology and hardware-based Instant Secure Erase.",,249.99,hdd,
88,Razer Blade Pro 17 Gaming Laptop 2020,3.54,https://m.media-amazon.com/images/I/61V0GgZhl0L._AC_SY450_.jpg,,"With its thin and light design, 6.5 millimeter micro-edge bezel display, and 82% screen to body ratio, you can take this PC anywhere and see more of what you love.  HP 15-inch Laptop, 11th Generation Intel Core i5",,3149.99,laptop,
89,KMOUK Sound Bars for TV with woofer,3.48,https://images-na.ssl-images-amazon.com/images/I/91IwcDnDRkL._SL1500_.jpg,,"A 10-inch Dynamic Balance woofer & a uniquely configured directed port provides accurate bass with added depth that brings your music and movies alive. A perfect solution for your small-to-mid size room Enjoy a thrilling yet balanced music experience with rich, deep sound, even at low frequencies.",,279.95,woofer,
90,Gear 360 Spherical VR Camera,3.25,https://images-na.ssl-images-amazon.com/images/I/31wPaKAPhJL.jpg,,"If you're concerned about the mischief your furry friends are causing when you're out of the house, try the Motorola Wi-Fi Pet Video Camera. Get a peek at your pet with remote HD-quality video streaming.",,62.95,camera,
91,Sennheiser - Earbud Headphones - Black,3.38,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1239/1239501cv13a.jpg,,"Equal parts earbud and ear bling, Galaxy Buds Live come in 4 colors you’ll want to rock all day . Active Noise Cancelling Wireless Charging",,799.99,earbuds,
92,"AOC 20E1H 20"" HD 1600x900 Monitor",4.19,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3064/3064013_sd.jpg,,"Immersive Viewing Experience: The 1800R curvature of the screen lets you enjoy big, bold and stunning panoramic views while you work or play at home or the office",,69,monitor,
93,Jensen JTV19DC HD Ready 19 Inch 12V DC RV LED TV ,3.82,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5578/5578111_sa.jpg,,"Go beyond HDTV with Quantum HDR that delivers a vivid spectrum of color and contrast to your Smart TV. Whatever you watch, the Quantum Processor 4K transforms it to 4K through machine learning-based AI. SMART TV POWERED BY TIZEN: Access your favorite apps, streaming services and smart home devices right from your TV",,4295.98,led tv monitor,
